--- Optimization Completed ---
Final Cost: 0.0785373787964323
Final Parameters: [4.26290326 0.11053458 0.81856754 4.62285113 1.65754124 1.07928091
 5.76114017 3.99150406 6.22186   ]

Best parameters (callback): [4.26225984 0.11406705 0.81370595 4.63003382 1.64842973 1.08607405
 5.77085817 3.9963624  6.21937467]
Best cost (callback): 0.054237384045698556

0.154784 (Num:0.126479 / Denom:0.149642)
0.195342 (Num:0.187553 / Denom:0.233085)
0.114264 (Num:0.149388 / Denom:0.168659)
0.219140 (Num:0.092767 / Denom:0.118802)
0.207834 (Num:0.193644 / Denom:0.244449)
0.120119 (Num:0.148514 / Denom:0.168789)
0.232765 (Num:0.220352 / Denom:0.287202)
0.244960 (Num:0.077149 / Denom:0.102179)
0.107967 (Num:0.150606 / Denom:0.168834)
0.165043 (Num:0.125754 / Denom:0.150611)
0.174216 (Num:0.169026 / Denom:0.204686)
0.130620 (Num:0.148192 / Denom:0.170457)
0.204068 (Num:0.121725 / Denom:0.152934)
0.203863 (Num:0.183212 / Denom:0.230126)
0.124409 (Num:0.147515 / Denom:0.168474)
0.185050 (Num:0.152755 / Denom:0.187442)
0.182569 (Num:0.128376 / Denom:0.157048)
0.109297 (Num:0.149678 / Denom:0.168045)
0.183739 (Num:0.166144 / Denom:0.203543)
0.134020 (Num:0.125713 / Denom:0.145168)
0.098267 (Num:0.150677 / Denom:0.167097)
0.232571 (Num:0.208056 / Denom:0.271108)
0.300123 (Num:0.080039 / Denom:0.114362)
0.110304 (Num:0.152233 / Denom:0.171107)
0.170857 (Num:0.075442 / Denom:0.090988)
0.188252 (Num:0.222300 / Denom:0.273854)
0.095836 (Num:0.152806 / Denom:0.169002)
0.194791 (Num:0.220241 / Denom:0.273520)
0.145551 (Num:0.074494 / Denom:0.087184)
0.096343 (Num:0.149300 / Denom:0.165218)
0.202746 (Num:0.214206 / Denom:0.268679)
0.189181 (Num:0.079656 / Denom:0.098241)
0.116534 (Num:0.147207 / Denom:0.166624)
0.140692 (Num:0.154972 / Denom:0.180345)
0.114255 (Num:0.125923 / Denom:0.142166)
0.104929 (Num:0.148913 / Denom:0.166370)
0.181314 (Num:0.069545 / Denom:0.084947)
0.191087 (Num:0.223585 / Denom:0.276402)
0.090703 (Num:0.150651 / Denom:0.165678)
0.221186 (Num:0.211330 / Denom:0.271348)
0.246495 (Num:0.076347 / Denom:0.101322)
0.069610 (Num:0.152252 / Denom:0.163643)
0.221407 (Num:0.089815 / Denom:0.115355)
0.216727 (Num:0.201213 / Denom:0.256888)
