Shots: 50000
a, c= SPSA.calibrate(
        loss=lambda x: calculate_cost_function_sampling(x,shots,coefficient_set_2,gate_set_2,cost_history_SPSA),
        initial_point=x0,
        c=0.2,                 # Force start c = 0.2
        target_magnitude=0.35, # Force start step size ≈ 0.35
        stability_constant=0
    )
{   'fun': 0.06322566499892035,
    'jac': None,
    'nfev': 541,
    'nit': 180,
    'njev': None,
    'x': array([3.27687301, 5.51461997, 4.39133129, 3.08644882, 3.22021084,
       0.11813821, 1.79506773, 3.12461093, 2.27023903])}
Best x Found (Tracked by Callback): [3.27687301 5.51461997 4.39133129 3.08644882 3.22021084 0.11813821
 1.79506773 3.12461093 2.27023903]
Best Cost Found (Tracked by Callback): 0.022162480198974044

0.171473 (Num: 0.232815 / Denom: 0.280998)
0.237734 (Num: 0.223061 / Denom: 0.292629)
0.221124 (Num: 0.182174 / Denom: 0.233894)
0.157374 (Num: 0.210432 / Denom: 0.249734)
0.360926 (Num: 0.133707 / Denom: 0.209219)
0.301570 (Num: 0.296865 / Denom: 0.425046)
0.195005 (Num: 0.241513 / Denom: 0.300018)
0.227855 (Num: 0.240466 / Denom: 0.311426)
0.203552 (Num: 0.164023 / Denom: 0.205943)
0.157310 (Num: 0.202815 / Denom: 0.240676)
0.255224 (Num: 0.161329 / Denom: 0.216614)
0.199667 (Num: 0.234827 / Denom: 0.293411)
0.162239 (Num: 0.215044 / Denom: 0.256689)
0.243407 (Num: 0.146839 / Denom: 0.194080)
0.209258 (Num: 0.280452 / Denom: 0.354669)
0.156759 (Num: 0.231914 / Denom: 0.275027)
0.182028 (Num: 0.231533 / Denom: 0.283058)
0.201570 (Num: 0.221752 / Denom: 0.277734)
0.153386 (Num: 0.232887 / Denom: 0.275080)
0.188289 (Num: 0.191405 / Denom: 0.235804)
0.251039 (Num: 0.252693 / Denom: 0.337391)
0.154673 (Num: 0.219786 / Denom: 0.260001)
0.257269 (Num: 0.173707 / Denom: 0.233877)
0.215834 (Num: 0.264761 / Denom: 0.337634)
0.155538 (Num: 0.231843 / Denom: 0.274545)
